label_id,label_name
3198,Chrysalis
66542,Seasons Limited
135157,Not On Label (Sade)
19728,"Serious Entertainment, Inc."
381,Liquid Music
107566,Royal Roost
690,Tilted Records
53142,MoJazz
19585,Slip-N-Slide Records
19401,Wu-Tang Records
5012,T.J.S.B.
16101,BP Records Inc.
11358,RCA Victor
7483,Hot Tracks
1866,Columbia
255,Basic Channel
399283,Argot (2)
1866,Columbia
1038611,Left Hand Path
94329,Wax Poetics Records
13612,Crosstown Rebels
5648,Dirt Style Records
4644,Addict Records
11641,KA Records
406110,Razor N Tape
46768,Boysnoize Records
1186191,DGTL Records
46453,CBS Masterworks
750,Virgin
660868,Stigmata (3)
660868,Stigmata (3)
1456,Sm:)e Communications
415,Metroplex
5991,Bluebird
260592,Music! Music Group
12998,Yb70
135157,Not On Label (Sade)
5648,Dirt Style Records
10503,Regular
812393,Diggin' Disco Deep
878,MCA Records
114631,Cee-Low Entertainment
1184,Tidy Trax
251,Nervous Records
255,Basic Channel
314,Dance Mania
379248,Traxx Underground
6691,Universal Funk
58595,Modern Recording Company
406110,Razor N Tape
85383,Yore Records
17851,Krinjah
415,Metroplex
415,Metroplex
275530,Sunnyview
1043401,Not On Label (Noleian Reusse)
1,Planet E
314,Dance Mania
814792,Best Record Italy
294966,Revision Records (2)
46768,Boysnoize Records
17337,Electric Mayhem Productions
492752,Bandura
1483015,MusicandPower (2)
1565,Contact
1818,Not On Label
11668,Battle Axe Records
6838,Blut
131420,Other
861095,CGI Records (3)
65616,Aus Music
56639,Genetiks Recordings
1851,Rush Hour Recordings
1228,Adult Only
1818,Not On Label
26011,Tommy Boy
3019,Ambush
1228,Adult Only
584083,On Records (11)
1824,"Madhouse Records, Inc."
769940,Barba Records
1818,Not On Label
95692,Moody Records
32110,Saved Records
123159,Epm Music
3950,Crammed Discs
59,Tresor
89539,Major Records (7)
895,RCA
538,Perlon
3020,Ghostly International
602577,How To Kill Records
3020,Ghostly International
12099,X-Mix
1575,Irma
23367,Solid Cut Records
133449,[pias]
641587,The Bunker New York
249,Spectral Sound
30964,Smooth Agent Records
1262,Radikal Fear
157878,Big Bam Boom
554956,Aerotek Recordings
49205,Switch Recordings
