294,Kromatones
295,Revision Records 
296,Electric Mayhem Productions
297,Bandura
298,Contact
299,Not On Label
300,Battle Axe Records
301,CGI Records 
302,Genetiks Recordings
303,Rush Hour Recordings
304,Adult Only
305,On Records 
306,Madhouse Records
307,Barba Records
308,Moody Records
309,Saved Records
310,Epm Music
311,Crammed Discs
312,Tresor
313,Major Records 
314,RCA
315,Perlon
316,Ghostly International
317,How To Kill Records
318,Irma
319,Solid Cut Records
320,[pias]
321,The Bunker New York
322,Spectral Sound
323,Smooth Agent Records
324,Radikal Fear
325,Big Bam Boom
326,Aerotek Recordings
327,Switch Recordings
328,Capitol Records
329,Happy Vibe Productions
330,Nakameguro Yakkyoku Recordings
331,Psycho+Logical-Records
332,Texas Scratch League Records
333,Kitty-Yo
334,Drumcode
335,Versatile Records
336,Polydor Ltd.
337,CBS Special Products
338,Vinyl Communications
339,L.I.E.S.  
340,Ego Death
341,Infrabass
342,Direct Beat
343,Disques Sinthomme
344,Pheel Music
345,D.C. Recordings
346,Voice-Noise Records
347,AT Records
348,Lost Soul Enterprises
349,Attack Records
350,Scandinavia
351,Rabid Records
352,UFO Recordings
353,Elektra
354,Uncivilized World
355,Audio Blueprint
356,Aficionado Recordings
357,Drop Bass Network
358,Freak Mode
359,Hook Up Tunes
360,Bastard Loud Records
361,Stones Throw Records
362,Never Records
363,Bloody Fist Records
364,Blue Planet Recordings
365,Suburban Base Records
366,Violent Turd
367,Wanted Records 
368,Position Chrome
369,Flesh Records
370,Sys-X Records
371,Unique Muzique
372,Force Inc. Music Works
373,Don Q Records
374,SMC Recordings
375,Chillifunk Records
376,Maximum Impact Records
377,Hardkiss
378,Hi-Phen Music Delivery
379,Herbal Essence
380,Ghost Town
381,[PIAS] Recordings
382,Mo Wax
383,303 Recordings
384,Big Beat
385,Ultra Records
386,Basement Boys Records
387,My Last Wish
388,Hot Mix 5 Records
389,V Recordings
390,Wild Pitch Records
391,Re-load Records
392,Intuit-Solar
393,Traum Schallplatten
394,Pylon Records 
395,Serchlite Music
396,Raptivism
397,Kombination Research
398,Lilac Point Recordings
399,Framework Music
400,Kult Records
401,Kingsize
402,Hidden Agenda
403,Rush Associated Labels
404,Kranky
405,ATP Recordings
406,Sugar Hill Records
407,Higher Ground
408,Star 69 Records
409,Modern Urban Jazz
410,Get On Down
411,Delabel
412,Sonix
413,Tora Tora Tora
414,Mars Assault
415,Manifest Music
416,Terror Traxx
417,Enzyme Records
418,KK Traxx
419,Go! Discs
420,Interscope Records
421,Purple Music
422,Bust A Groove
423,Chez Music
424,Medicine Label
425,Rawkus
426,Undercontrol
427,Audio Attack Records
428,Phat Trax
429,Odds & Ends Music
430,Penny Black
431,International House Records
432,SOUR
433,Antenna International
434,Alola
435,Kinetic Records
436,Rip-It Records
437,Dischord Records
438,Mamma's Home Cookin
439,Echo Drop
440,Planet Rhythm Records
441,Smitten
442,4th & Broadway
443,Unique
444,Liquid Sound Lounge
445,Wally's Groove World
446,Howlin' Records
447,Kushi
448,Great Jones
449,Jive
450,E-SA Records
451,Djax-Up-Beats
452,V2
453,Unidisc
454,Henry Street Music
455,Ubiquity
456,Argo 
457,Frontline Records
458,Chicks On Speed Records
459,Deceptive
460,Evolution 
461,Karloff
462,Scepter Records
463,Code Red Recordings
464,Asphodel
465,Topaz
466,International Breakbeat Inc.
467,Dark And Evil
468,Musik Krause
469,DGC
470,West Side Records 
471,Care Recordings
472,Prismatic Tracks
473,Duck Down
474,Smash Hit Music Co
475,Skull Tunes
476,Scantraxx
477,Frik:N:Frak Recordings
478,Amber Records
479,Playhouse
480,Question
481,Subhead
482,Underground Resistance
483,King Street Sounds
484,Poji Records
485,Armed Records
486,Astralwerks
487,EFA
488,Prestige
489,Pagan America
490,Joker Records
491,Pickwick/33 Records
492,Renegade Recordings
493,Sick & Twisted
494,CLR 
495,Celluloid Records
