687969897,"12"" W/Lbl",9.89,Very Good Plus (VG+),Draft,5498322
687970014,"12""",10.49,Mint (M),Sold,6653273
687969905,"12""",9.89,Near Mint (NM or M-),Draft,620929
687969912,"12""",11.47,Mint (M),Sold,4620259
687969986,"7"" Cle",7.34,Near Mint (NM or M-),Sold,1025924
687970169,LP Album,7.98,Mint (M),Draft,2630891
687970170,LP Album Gat,7.98,Near Mint (NM or M-),Sold,3076256
687970189,"12""",7,Near Mint (NM or M-),Sold,1360251
687970191,"12"" EP",8.47,Very Good Plus (VG+),Draft,21188
687970027,"12"" Ltd Smplr",7.49,Very Good Plus (VG+),Draft,70309
687970053,"12"" EP",9.49,Near Mint (NM or M-),Draft,20873
687970055,"10"" Single Cle",9.49,Mint (M),Draft,3637312
687970201,LP Comp Mixed Spe,8.47,Very Good Plus (VG+),Draft,403048
687970087,"12""",9.49,Very Good (VG),Draft,151660
687970136,2xCD Comp,9.89,Near Mint (NM or M-),Draft,2768113
687970355,CD Album,6.98,Very Good Plus (VG+),Draft,2680311
687970278,"12""",6,Very Good Plus (VG+),Sold,17545
687970292,"12"" Promo",7.49,Very Good Plus (VG+),Draft,2463302
687970210,"12""",8.47,Near Mint (NM or M-),Draft,5991338
687970229,"12""",8.47,Very Good Plus (VG+),Draft,7324
687970457,"12""",6.48,Near Mint (NM or M-),Draft,12359
687970406,"12"" Promo",7.98,Near Mint (NM or M-),Sold,789502
687970443,"12""",8.47,Near Mint (NM or M-),Draft,478461
687970535,"12"" Cle",7.49,Very Good Plus (VG+),Draft,5317641
687970450,"12""",8.47,Very Good Plus (VG+),Draft,2896
687970700,"12""",5.89,Very Good Plus (VG+),Sold,3429488
687970706,"12""",5.89,Very Good Plus (VG+),Draft,57258
687970708,"12""",5.89,Very Good Plus (VG+),Draft,14790
687970583,"12""",6.48,Very Good Plus (VG+),Draft,11003
687970591,"12""",6.48,Very Good Plus (VG+),Draft,158290
687970720,"12""",5.89,Very Good Plus (VG+),Draft,348009
687970642,"12""",7.49,Near Mint (NM or M-),Draft,3474495
687970594,"12""",6.48,Very Good Plus (VG+),Draft,20197
687970725,"12"" Single Promo W/Lbl",5.89,Very Good (VG),Draft,8778208
687970598,"12""",6.48,Very Good Plus (VG+),Draft,99252
687970599,LP Comp,6.48,Very Good (VG),Draft,6677809
687970651,"12""",7.49,Near Mint (NM or M-),Draft,48694
687970657,LP MiniAlbum,6,Near Mint (NM or M-),Sold,1057242
687970658,"12""",7.49,Mint (M),Draft,2007439
687970665,"12""",7.49,Mint (M),Sold,547167
687970795,"12"" RE Blu",5.89,Very Good (VG),Draft,4678593
687970925,"12"" W/Lbl Sta",5.89,Very Good (VG),Draft,7691670
