254,Freddy Fresh & Woody McBride
255,H-Town
256,Harold Budd / Simon Raymonde / Robin Guthrie / Elizabeth Fraser
257,L'Trimm
258,Mack 10
259,Model 500
260,Mr. G
261,Taciturne
262,Aretha Franklin
263,Baby Ford
264,Chase Smith
265,Das EFX
266,El Da Sensei
267,George Michael
268,James Holden & The Animal Spirits
269,Jay-Z
270,Jupiter 6
271,Koreless
272,Kut Masta Kurt Presents Masters Of Illusion
273,Lavish Habits
274,Mobb Deep / L.E.S. & ACD / Organized Konfusion
275,Nico Purman
276,Noface
277,Paul Hardcastle
278,Pepe Bradock
279,S.U.M.O.
280,Sade
281,Saukrates
282,Sine
283,Stan Getz And The Swedish All Stars Featuring Bengt Hallberg
284,T.G. Funkin
285,Terra Sul
286,Trick Daddy Feat. Cee-Lo & Big Boi
287,Two Da Road & T.W.D.Y.
288,Ahmad Jamal
289,Basic Channel
290,The Black Madonna
291,C + C Music Factory
292,C.L.A.W.S.
293,Chico Mann
294,Citizenn
295,Darth Fader and The Wax Warriors
296,Georgie Porgie Featuring Connie V.
297,Hade 
298,I-Robots
299,KiNK
300,Ludwig Van Beethoven
301,Malcolm McLaren & World's Famous Supreme Team Vs Rakim & The S-Man
302,Map Of The World
303,Mighty Dub Katz
304,Pollyn
305,Ripit
306,Skratchy Seal & The Unknown Dirtstyler & Butchwax & Darth Fader
307,Sweet 'n Candy
308,Yoda
309,Blue Moon Orchestra
310,Cyrus
311,DJ Chip
312,DJ Different
313,Eidolon
314,Jacques Renault
315,Kez YM
316,Krinjah
317,Model 500 & 3MB
318,Newcleus
319,Noleian Reusse
320,Piece
321,Pilly P. & Stacy Kidd
322,Pussycat 
323,Ra-X
324,The Reflex
325,SCNTST
326,Spukkin Faceship and Pongoid
327,Vakula
328,Abstract Tribe Unique
329,Beach Flea
330,C Powers
331,Catz N' Dogz
332,Celsius
333,Chez N Trent
334,Chris Carrier
335,DC Fallout
336,Digital Underground
