listing_id,artist,title,label,styles,format,release_id,status,price,listed,media_condition,image_url,video_url
897530730,Bug Kann & The Plastic Jam,Made In 2 Minutes,Mutant Sound System,Speed Garage / Breakbeat / Techno,"12""",209850,For Sale,24.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/zxLMTSJLN2Of--W4hGT5iAmlRSU=/fit-in/600x187/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-209850-1243724765.jpeg.jpg,https://www.youtube.com/watch?v=AhKuZFqqASo
895412361,"C-wendy, Renzo (23)",Tribute To Joshua Nolan,etiket,House / Deep House / Minimal,"12"", EP",12856527,For Sale,13.95,5/21/19 1:21,Mint (M),https://img.discogs.com/I0kv4rFz8RXj-FiRh4wmR5s8eJc=/fit-in/600x601/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12856527-1543266679-1654.png.jpg,https://www.youtube.com/watch?v=UbJiec-Oa4g
904983409,Calibre,Carry Me Away / Mr Right On,Signature Records,Drum n Bass,"12"", RM, RP",13226414,For Sale,14.95,5/21/19 1:21,Mint (M),https://img.discogs.com/FkpxxFZ7JNFsTO-lE5D0iLZv_Hg=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13226414-1550310315-6438.jpeg.jpg,https://www.youtube.com/watch?v=pwy3rnN9FS0
904989831,Calibre,Makes Me Wonder / Got To Have You,Signature Records,Drum n Bass,"12"", RM",13287560,For Sale,14.95,5/21/19 1:21,Mint (M),https://img.discogs.com/FvePCx85TXOPrg305X95-InpEpA=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13287560-1551437657-5922.jpeg.jpg,https://www.youtube.com/watch?v=spbAWDXqZCs
904983297,Calibre,Taciturn / Butter Love,Signature Records,Drum n Bass,"12""",12913696,For Sale,13.95,5/21/19 1:21,Mint (M),https://img.discogs.com/Uspfpg1ZukW6t8MHX7o0V00Va14=/fit-in/600x604/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12913696-1544807511-4209.jpeg.jpg,https://www.youtube.com/watch?v=fDQyMvyFL9Y
903034952,Celeda,The Underground / Reach Up (Part 1),Star 69 Records,House / Garage House,"12"", Sil",2532170,For Sale,3.89,5/21/19 1:21,Very Good (VG),https://img.discogs.com/nZ3QgjTsgEDdzUUYcuBiI1sMeMU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-2532170-1289135657.jpeg.jpg,https://www.youtube.com/watch?v=kOPZvJac8qc
897081491,Cem Salman,Oral,Teknotika Records,Techno / Tech House / Minimal,"12""",150361,For Sale,12.49,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/RoRdJHA3MlYkoLzbaCD3PD2nvuc=/fit-in/500x500/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-150361-1199069615.jpeg.jpg,n/a
908251183,Chaka Khan,Destiny,"Warner Bros. Records, Warner Bros. Records",Downtempo / Synth-pop / Disco,"LP, Album",1571256,For Sale,4.19,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/QNiRx8kTo6jXZVtCFnI81EvyvtY=/fit-in/600x598/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1571256-1349008340-8699.jpeg.jpg,https://www.youtube.com/watch?v=M-WG0hlS9Ac
901192047,Conga Squad,Initialize Sequence EP,Holographic,House,"12"", EP",69567,For Sale,5.75,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/QtFZPNsE-311P2m_ZzggQxwAdkM=/fit-in/303x300/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-69567-1096011378.jpg.jpg,https://www.youtube.com/watch?v=L-Z92V2vrkk
900822899,Conga Squad,Phase One EP,Holographic,House,"12"", Whi",11430428,For Sale,5.2,5/21/19 1:21,Very Good (VG),https://img.discogs.com/I-9r5MzcUxfVlR2WJ4U_VTpHkd0=/fit-in/600x450/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11430428-1547287293-3243.jpeg.jpg,https://www.youtube.com/watch?v=lPIfrQUivMs
